FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
MC0001,Calibration_iDR5_4_PSF,22.3354,21.75,21.1768,21.4591,21.6146,23.2137,21.8186,23.2898,22.923,23.2056,22.0741,22.8029
MC0002,Calibration_iDR5_4_PSF,23.2583,22.6048,21.9637,22.1207,22.2237,23.9429,22.5489,24.1669,23.7924,24.0522,22.9334,23.6477
MC0003,Calibration_iDR5_4_PSF,22.3403,21.7479,21.1637,21.4542,21.6052,23.1787,21.8226,23.2662,22.9051,23.1987,22.0575,22.7713
MC0004,Calibration_iDR5_4_PSF,23.0135,21.7546,21.1689,21.4468,21.602,23.2319,21.8218,23.3005,23.7316,23.2249,22.8354,23.5488
MC0005,Calibration_iDR5_4_PSF,22.3813,21.6909,21.0559,21.3099,21.4473,23.235,21.7332,23.3038,22.9462,23.2289,22.0985,22.8841
MC0006,Calibration_iDR5_4_PSF,22.371,21.7898,21.2116,21.4935,21.6346,23.2573,21.8529,23.315,22.9398,23.2304,22.0825,22.8483
MC0007,Calibration_iDR5_4_PSF,22.3415,21.6844,21.0633,21.3402,21.4887,23.2148,21.7495,23.2861,22.9372,23.1977,22.0895,22.8178
MC0031,Calibration_iDR5_4_PSF,23.2342,22.5787,21.8712,22.0985,22.1863,23.9268,22.541,24.1752,23.7938,24.0674,22.9451,23.719
MC0037,Calibration_iDR5_4_PSF,23.135,22.5181,21.8617,22.0464,22.1528,23.8955,22.5077,24.1389,23.7767,24.0313,22.9318,23.6633
